,_structureId
0,100D
1,101D
2,101M
3,102D
4,102L
5,102M
6,103D
7,103L
8,103M
9,104D
10,104L
11,104M
12,105D
13,105M
14,106D
15,106M
16,107D
17,107L
18,107M
19,108D
20,108L
21,108M
22,109D
23,109L
24,109M
25,10GS
26,10MH
27,110D
28,110L
29,110M
30,111D
31,111L
32,111M
33,112D
34,112L
35,112M
36,113D
37,113L
38,114D
39,114L
40,115D
41,115L
42,116D
43,117D
44,117E
45,118D
46,118L
47,119D
48,119L
49,11AS
50,11BA
51,11BG
52,11GS
53,120L
54,121D
55,121P
56,122D
57,122L
58,123D
59,123L
60,124D
61,125L
62,126D
63,126L
64,127D
65,127L
66,128D
67,128L
68,129D
69,129L
70,12AS
71,12CA
72,1.20E+09
73,12GS
74,130D
75,130L
76,131D
77,131L
78,132D
79,132L
80,133D
81,133L
82,134D
83,134L
84,135D
85,135L
86,136D
87,137D
88,137L
89,138D
90,138L
91,139D
92,139L
93,13GS
94,13PK
95,140D
96,140L
97,141D
98,141L
99,142D
100,142L
101,143D
102,143L
103,144D
104,144L
105,145D
106,145L
107,146D
108,146L
109,147L
110,148D
111,148L
112,149D
113,149L
114,14GS
115,150D
116,150L
117,151D
118,151L
119,152D
120,152L
121,153D
122,153L
123,154D
124,154L
125,155C
126,155L
127,156D
128,156L
129,157D
130,157L
131,158D
132,158L
133,159D
134,159L
135,15C8
136,160D
137,160L
138,161D
139,161L
140,162L
141,163L
142,164L
143,165D
144,165L
145,166D
146,166L
147,167D
148,167L
149,168D
150,168L
151,169D
152,169L
153,16GS
154,16PK
155,16VP
156,170D
157,170L
158,171D
159,171L
160,172D
161,172L
162,173D
163,173L
164,174L
165,175D
166,175L
167,176D
168,176L
169,177D
170,177L
171,178D
172,178L
173,179D
174,17GS
175,17RA
176,180D
177,180L
178,181D
179,181L
180,182D
181,182L
182,183D
183,183L
184,184D
185,184L
186,185D
187,185L
188,186D
189,186L
190,187D
191,187L
192,188D
193,188L
194,189D
195,189L
196,18GS
197,190D
198,190L
199,1914
200,191D
201,191L
202,192D
203,192L
204,193D
205,193L
206,194D
207,194L
208,195D
209,195L
210,196D
211,196L
212,197D
213,197L
214,198D
215,198L
216,199D
217,199L
218,19GS
219,19HC
220,1A00
221,1A01
222,1A02
223,1A03
224,1A04
225,1A05
226,1A06
227,1A07
228,1A08
229,1A09
230,1A0A
231,1A0B
232,1A0C
233,1A0D
234,1A0E
235,1A0F
236,1A0G
237,1A0H
238,1A0I
239,1A0J
240,1A0K
241,1A0L
242,1A0M
243,1A0N
244,1A0O
245,1A0P
246,1A0Q
247,1A0R
248,1A0S
249,1A0T
250,1A0U
251,1A0Z
252,1A11
253,1A12
254,1A13
255,1A14
256,1A15
257,1A16
258,1A17
259,1A18
260,1A19
261,1A1A
262,1A1B
263,1A1C
264,1A1D
265,1A1E
266,1A1F
267,1A1G
268,1A1H
269,1A1I
270,1A1J
271,1A1K
272,1A1L
273,1A1M
274,1A1N
275,1A1O
276,1A1P
277,1A1Q
278,1A1R
279,1A1S
280,1A1T
281,1A1U
282,1A1V
283,1A1W
284,1A1X
285,1A1Z
286,1A21
287,1A22
288,1A23
289,1A24
290,1A25
291,1A26
292,1A27
293,1A28
294,1A29
295,1A2A
296,1A2B
297,1A2C
298,1A2D
299,1A2E
300,1A2F
301,1A2G
302,1A2I
303,1A2J
304,1A2K
305,1A2L
306,1A2M
307,1A2N
308,1A2O
309,1A2P
310,1A2Q
311,1A2S
312,1A2T
313,1A2U
314,1A2V
315,1A2W
316,1A2X
317,1A2Y
318,1A2Z
319,1A30
320,1A31
321,1A32
322,1A33
323,1A34
324,1A35
325,1A36
326,1A37
327,1A38
328,1A39
329,1A3A
330,1A3B
331,1A3C
332,1A3D
333,1A3E
334,1A3F
335,1A3G
336,1A3H
337,1A3I
338,1A3J
339,1A3K
340,1A3L
341,1A3M
342,1A3N
343,1A3O
344,1A3P
345,1A3Q
346,1A3R
347,1A3S
348,1A3T
349,1A3U
350,1A3V
351,1A3W
352,1A3X
353,1A3Y
354,1A3Z
355,1A40
356,1A41
357,1A42
358,1A43
359,1A44
360,1A45
361,1A46
362,1A47
363,1A48
364,1A49
365,1A4A
366,1A4B
367,1A4C
368,1A4D
369,1A4E
370,1A4F
371,1A4G
372,1A4H
373,1A4I
374,1A4J
375,1A4K
376,1A4L
377,1A4M
378,1A4O
379,1A4P
380,1A4Q
381,1A4R
382,1A4S
383,1A4T
384,1A4U
385,1A4V
386,1A4W
387,1A4X
388,1A4Y
389,1A4Z
390,1A50
391,1A51
392,1A52
393,1A53
394,1A54
395,1A55
396,1A56
397,1A57
398,1A58
399,1A59
400,1A5A
401,1A5B
402,1A5C
403,1A5D
404,1A5E
405,1A5F
406,1A5G
407,1A5H
408,1A5I
409,1A5J
410,1A5K
411,1A5L
412,1A5M
413,1A5N
414,1A5O
415,1A5P
416,1A5Q
417,1A5R
418,1A5S
419,1A5T
420,1A5U
421,1A5V
422,1A5W
423,1A5X
424,1A5Y
425,1A5Z
426,1A60
427,1A61
428,1A62
429,1A63
430,1A64
431,1A65
432,1A66
433,1A67
434,1A68
435,1A69
436,1A6A
437,1A6B
438,1A6C
439,1A6D
440,1A6E
441,1A6F
442,1A6G
443,1A6H
444,1A6I
445,1A6J
446,1A6K
447,1A6L
448,1A6M
449,1A6N
450,1A6P
451,1A6Q
452,1A6R
453,1A6S
454,1A6T
455,1A6U
456,1A6V
457,1A6W
458,1A6X
459,1A6Y
460,1A6Z
461,1A70
462,1A71
463,1A72
464,1A73
465,1A74
466,1A75
467,1A76
468,1A77
469,1A78
470,1A79
471,1A7A
472,1A7B
473,1A7C
474,1A7D
475,1A7E
476,1A7F
477,1A7G
478,1A7H
479,1A7I
480,1A7J
481,1A7K
482,1A7L
483,1A7M
484,1A7N
485,1A7O
486,1A7P
487,1A7Q
488,1A7R
489,1A7S
490,1A7T
491,1A7U
492,1A7V
493,1A7W
494,1A7X
495,1A7Y
496,1A7Z
497,1A80
498,1A81
499,1A82
500,1A83
501,1A84
502,1A85
503,1A86
504,1A87
505,1A88
506,1A8A
507,1A8B
508,1A8C
509,1A8D
510,1A8E
511,1A8F
512,1A8G
513,1A8H
514,1A8I
515,1A8J
516,1A8K
517,1A8L
518,1A8M
519,1A8N
520,1A8O
521,1A8P
522,1A8Q
523,1A8R
524,1A8S
525,1A8T
526,1A8U
527,1A8V
528,1A8W
529,1A8Y
530,1A8Z
531,1A90
532,1A91
533,1A92
534,1A93
535,1A94
536,1A95
537,1A96
538,1A97
539,1A98
540,1A99
541,1A9B
542,1A9C
543,1A9E
544,1A9G
545,1A9H
546,1A9I
547,1A9J
548,1A9L
549,1A9M
550,1A9N
551,1A9O
552,1A9P
553,1A9Q
554,1A9R
555,1A9S
556,1A9T
557,1A9U
558,1A9V
559,1A9W
560,1A9X
561,1A9Y
562,1A9Z
563,1AA0
